ID;DNI;MATRICULA;KM_RECORRIDOS;NUMERO_ACELERONES;NUMERO_FRENAZOS;RPM_MEDIA;INICIO;FIN
615;12345678A;3445DKM;49,56360635;0;3;2646;2020-05-24 22:04:56.304;2020-05-24 22:26:21.021
616;12345678A;1125LLV;17,10762535;0;0;3082;2020-05-25 00:33:13.832;2020-05-25 00:37:06.508
617;12345678A;5567JJL;84,36190151;2;6;2770;2020-05-25 00:38:14.209;2020-05-25 01:17:57.190
618;12345678A;5567JJL;197,7726402;0;2;2865;2020-05-25 05:33:59.039;2020-05-25 06:47:11.041
619;87654321V;3445DKM;127,713093;5;7;2696;2020-05-25 14:00:33.100;2020-05-25 15:28:59.406
620;44678910Y;5567JJL;89,50662106;6;6;2832;2020-05-25 22:50:02.850;2020-05-26 00:06:11.685
621;44678910Y;5567JJL;70,27422656;4;2;2870;2020-05-26 03:26:25.899;2020-05-26 05:01:55.303
622;12345678A;3445DKM;117,4948653;2;4;2522;2020-05-26 09:16:21.072;2020-05-26 10:02:19.237
623;12345678A;3445DKM;174,668727;1;3;2826;2020-05-26 16:41:48.057;2020-05-26 17:09:02.136
624;12345678A;3445DKM;18,76315419;5;4;2946;2020-05-26 18:57:35.293;2020-05-26 20:33:24.091
625;12345678A;1125LLV;157,3600118;5;0;2915;2020-05-26 22:02:58.492;2020-05-26 22:33:56.112
626;87654321V;3445DKM;75,24421969;4;5;3044;2020-05-27 00:43:06.947;2020-05-27 02:29:03.958
627;44678910Y;3445DKM;15,89300003;3;7;2948;2020-05-27 06:30:06.659;2020-05-27 06:34:04.314
628;12345678A;3445DKM;184,9755272;3;0;3091;2020-05-27 14:49:57.822;2020-05-27 15:08:45.733
629;12345678A;5567JJL;102,4611327;2;4;2838;2020-05-27 15:26:59.232;2020-05-27 15:54:21.902
630;87654321V;3445DKM;39,80966529;5;7;2990;2020-05-27 19:20:29.633;2020-05-27 19:46:13.108
631;44678910Y;1125LLV;128,5675836;6;2;2532;2020-05-27 20:54:34.343;2020-05-27 22:13:59.175
632;44678910Y;3445DKM;125,7254386;4;6;3097;2020-05-28 04:22:47.355;2020-05-28 04:25:53.148
633;12345678A;1125LLV;123,899174;7;1;2636;2020-05-28 07:41:26.191;2020-05-28 08:50:24.479
634;12345678A;5567JJL;168,0975152;7;0;2587;2020-05-28 15:33:56.862;2020-05-28 17:16:54.179
635;87654321V;1125LLV;49,11027673;7;7;2896;2020-05-28 20:14:18.290;2020-05-28 21:08:59.077
636;44678910Y;3445DKM;102,6562297;1;0;2691;2020-05-29 03:06:17.378;2020-05-29 04:13:26.518
637;44678910Y;3445DKM;14,82853695;4;3;2710;2020-05-29 14:04:28.814;2020-05-29 14:31:30.562
638;12345678A;5567JJL;10,33285555;4;0;2771;2020-05-29 19:27:46.231;2020-05-29 21:27:19.602
639;12345678A;5567JJL;68,89098702;5;7;2714;2020-05-29 22:19:11.160;2020-05-29 23:41:12.449
640;87654321V;3445DKM;143,227493;1;3;2728;2020-05-30 05:58:45.985;2020-05-30 06:06:06.147
641;44678910Y;5567JJL;20,05286195;1;3;3070;2020-05-30 10:49:48.183;2020-05-30 10:54:00.294
642;44678910Y;5567JJL;77,81959207;7;5;3063;2020-05-30 20:53:26.064;2020-05-30 21:34:37.240
643;12345678A;3445DKM;2,841382384;6;5;2680;2020-05-31 02:45:11.107;2020-05-31 04:37:15.053
644;12345678A;3445DKM;111,1424004;1;1;2952;2020-05-31 09:59:31.995;2020-05-31 11:08:12.332
645;12345678A;3445DKM;200,5922129;3;3;2797;2020-05-31 14:21:23.077;2020-05-31 14:32:01.516
646;12345678A;1125LLV;121,5571666;2;0;2551;2020-05-31 20:10:23.372;2020-05-31 20:40:16.173
647;12345678A;5567JJL;45,65285007;4;7;2897;2020-05-31 22:11:40.362;2020-05-31 22:13:26.672
648;12345678A;5567JJL;18,5992361;2;5;3047;2020-06-01 05:16:50.360;2020-06-01 07:14:42.186
649;87654321V;3445DKM;50,74793554;3;0;2933;2020-06-01 08:06:59.395;2020-06-01 09:17:33.169
650;44678910Y;5567JJL;166,2349139;5;1;3076;2020-06-01 11:39:55.743;2020-06-01 11:42:31.100
651;44678910Y;5567JJL;38,3692705;5;6;2544;2020-06-01 20:58:04.033;2020-06-01 21:31:42.669
652;12345678A;3445DKM;135,1401269;0;4;2593;2020-06-01 23:38:58.426;2020-06-02 01:13:56.181
653;12345678A;3445DKM;176,5064725;1;2;2836;2020-06-02 03:16:11.910;2020-06-02 03:44:01.059
654;12345678A;3445DKM;182,8294098;2;4;2837;2020-06-02 04:50:03.041;2020-06-02 04:54:20.408
655;12345678A;1125LLV;33,25956689;2;5;3059;2020-06-02 14:40:17.435;2020-06-02 16:25:27.259
656;87654321V;3445DKM;13,94168598;7;7;3046;2020-06-02 23:54:09.171;2020-06-03 00:44:42.722
657;44678910Y;3445DKM;85,69401952;0;0;2836;2020-06-03 02:55:32.134;2020-06-03 04:25:37.870
658;12345678A;3445DKM;81,8236162;6;4;2706;2020-06-03 10:30:49.135;2020-06-03 12:26:59.060
659;12345678A;5567JJL;37,39583019;5;1;3066;2020-06-03 15:50:30.238;2020-06-03 16:51:58.182
660;87654321V;3445DKM;101,9804046;6;1;2532;2020-06-03 19:29:56.888;2020-06-03 21:01:37.311
661;44678910Y;1125LLV;156,6878812;5;1;2800;2020-06-04 05:46:19.878;2020-06-04 07:20:46.715
662;44678910Y;3445DKM;33,93141624;5;3;2977;2020-06-04 13:11:30.964;2020-06-04 13:22:30.682
663;12345678A;1125LLV;3,58910965;1;3;2919;2020-06-04 18:38:18.855;2020-06-04 20:36:42.994
664;12345678A;5567JJL;26,45230979;2;1;2970;2020-06-05 07:03:54.072;2020-06-05 08:23:21.832
665;87654321V;1125LLV;36,95671625;7;7;2827;2020-06-05 13:31:43.410;2020-06-05 15:16:47.068
666;44678910Y;3445DKM;18,82956209;7;5;2885;2020-06-05 15:23:25.733;2020-06-05 16:54:38.879
667;44678910Y;3445DKM;167,4614688;5;1;2930;2020-06-05 16:59:42.870;2020-06-05 18:37:16.331
668;12345678A;5567JJL;81,63051305;2;6;2968;2020-06-06 04:57:19.733;2020-06-06 05:46:10.247
669;12345678A;5567JJL;77,25590226;6;5;2727;2020-06-06 16:02:09.175;2020-06-06 16:25:34.372
670;87654321V;3445DKM;46,21968192;0;6;2900;2020-06-07 00:15:28.788;2020-06-07 01:38:04.274
671;44678910Y;5567JJL;14,82614798;2;1;2537;2020-06-07 09:59:25.601;2020-06-07 11:18:37.172
672;44678910Y;5567JJL;78,69969216;5;6;2572;2020-06-07 20:34:58.765;2020-06-07 20:57:53.969
673;12345678A;3445DKM;192,6717108;4;4;3013;2020-06-08 03:32:10.947;2020-06-08 05:09:57.278
674;12345678A;3445DKM;149,9904603;7;1;2692;2020-06-08 08:57:57.748;2020-06-08 09:56:50.194
675;12345678A;3445DKM;138,1855163;0;1;2677;2020-06-08 12:38:52.125;2020-06-08 12:52:59.804
676;12345678A;1125LLV;97,5345602;6;3;3031;2020-06-08 17:37:03.830;2020-06-08 18:10:05.196
677;12345678A;5567JJL;122,2123216;2;4;2881;2020-06-08 20:51:51.543;2020-06-08 20:55:01.886
678;12345678A;5567JJL;77,68074538;7;6;2781;2020-06-09 02:44:17.905;2020-06-09 03:44:28.006
679;87654321V;3445DKM;96,4151566;0;3;3002;2020-06-09 12:09:38.526;2020-06-09 12:56:58.386
680;44678910Y;5567JJL;64,83785702;6;5;2516;2020-06-09 18:56:54.559;2020-06-09 19:51:49.803
681;44678910Y;5567JJL;200,2754552;0;1;2964;2020-06-09 23:48:57.672;2020-06-10 00:13:39.091
682;12345678A;3445DKM;72,86844902;0;7;2620;2020-06-10 10:20:39.570;2020-06-10 11:54:17.954
683;12345678A;3445DKM;130,8532692;1;1;2636;2020-06-10 21:37:59.457;2020-06-10 21:43:28.466
684;12345678A;3445DKM;169,7663525;4;1;2884;2020-06-10 23:15:36.946;2020-06-10 23:40:18.956
685;12345678A;1125LLV;37,27357106;3;4;2503;2020-06-11 04:59:58.452;2020-06-11 06:26:24.691
686;87654321V;3445DKM;71,92274662;7;3;2936;2020-06-11 14:46:19.318;2020-06-11 15:15:16.052
687;44678910Y;3445DKM;122,0064795;5;4;3000;2020-06-11 21:41:05.932;2020-06-11 22:29:12.375
688;12345678A;3445DKM;131,9859573;7;7;2744;2020-06-12 02:48:39.669;2020-06-12 03:41:13.234
689;12345678A;5567JJL;4,272801639;3;1;2724;2020-06-12 08:06:44.730;2020-06-12 09:41:59.492
690;87654321V;3445DKM;59,94211391;4;0;3071;2020-06-12 16:24:48.116;2020-06-12 17:41:42.515
691;44678910Y;1125LLV;8,915426643;1;0;2684;2020-06-13 04:29:44.129;2020-06-13 05:53:18.316
692;44678910Y;3445DKM;19,7696938;2;5;2831;2020-06-13 13:36:09.794;2020-06-13 13:54:15.818
693;12345678A;1125LLV;111,2402527;3;1;2564;2020-06-13 22:39:36.089;2020-06-13 23:33:35.587
694;12345678A;5567JJL;90,72421052;0;7;2957;2020-06-14 05:31:39.245;2020-06-14 06:01:48.147
695;87654321V;1125LLV;127,0133582;7;7;2956;2020-06-14 06:45:17.468;2020-06-14 08:07:35.545
696;44678910Y;3445DKM;111,2258672;7;1;2905;2020-06-14 17:12:28.379;2020-06-14 17:56:29.110
697;44678910Y;3445DKM;194,2597391;3;2;2971;2020-06-15 01:18:04.180;2020-06-15 02:36:22.807
698;12345678A;5567JJL;92,93294907;2;1;2799;2020-06-15 03:00:42.402;2020-06-15 04:53:34.711
699;12345678A;5567JJL;183,3269923;4;3;2799;2020-06-15 05:30:15.271;2020-06-15 05:50:08.888
700;87654321V;3445DKM;89,65010473;6;3;2988;2020-06-15 10:54:42.406;2020-06-15 11:19:51.380
701;44678910Y;5567JJL;110,622063;7;3;2907;2020-06-15 13:57:44.902;2020-06-15 14:45:51.704
702;44678910Y;5567JJL;184,9196969;2;2;2501;2020-06-15 15:32:45.068;2020-06-15 15:57:11.987
703;12345678A;3445DKM;69,51258131;1;4;2500;2020-06-15 18:10:13.162;2020-06-15 18:13:24.980
704;12345678A;3445DKM;148,2214716;0;5;2758;2020-06-16 01:51:29.767;2020-06-16 03:27:22.932
705;12345678A;3445DKM;127,6100961;5;4;2646;2020-06-16 05:00:08.078;2020-06-16 05:27:20.376
706;12345678A;1125LLV;103,2709729;2;2;2793;2020-06-16 12:00:48.282;2020-06-16 12:58:55.920
707;12345678A;5567JJL;128,563468;1;3;2841;2020-06-16 17:09:38.328;2020-06-16 18:11:06.281
708;12345678A;5567JJL;141,9203621;5;7;2839;2020-06-16 18:42:14.197;2020-06-16 20:14:40.498
709;87654321V;3445DKM;128,7340051;1;1;2765;2020-06-17 05:07:09.677;2020-06-17 05:47:31.224
710;44678910Y;5567JJL;131,442157;2;5;3090;2020-06-17 14:58:51.670;2020-06-17 15:42:05.204
711;44678910Y;5567JJL;56,62655709;7;2;3000;2020-06-17 21:36:47.293;2020-06-17 22:25:08.493
712;12345678A;3445DKM;154,6036921;2;6;3035;2020-06-18 04:53:45.892;2020-06-18 05:29:02.558
713;12345678A;3445DKM;14,02988653;6;7;2851;2020-06-18 14:22:11.804;2020-06-18 14:55:33.369
714;12345678A;3445DKM;8,870449179;2;1;2874;2020-06-18 23:45:31.752;2020-06-19 01:09:59.555
715;12345678A;1125LLV;144,0239497;0;0;2658;2020-06-19 04:20:08.096;2020-06-19 04:28:29.776
716;87654321V;3445DKM;77,19119915;0;5;2679;2020-06-19 14:46:11.123;2020-06-19 15:51:44.498
717;44678910Y;3445DKM;72,2163637;5;3;2929;2020-06-19 20:45:31.195;2020-06-19 21:32:40.936
718;12345678A;3445DKM;6,083662306;2;5;2625;2020-06-20 01:36:48.597;2020-06-20 03:10:55.785
719;12345678A;5567JJL;117,2543522;7;6;3056;2020-06-20 07:00:27.319;2020-06-20 07:20:20.921
720;87654321V;3445DKM;55,71419155;0;5;2503;2020-06-20 17:33:50.303;2020-06-20 18:35:54.761
721;44678910Y;1125LLV;98,29006101;7;1;2810;2020-06-21 01:01:17.426;2020-06-21 02:18:12.985
722;44678910Y;3445DKM;165,3490511;0;3;2988;2020-06-21 02:51:32.814;2020-06-21 03:06:06.034
723;12345678A;1125LLV;61,66556832;7;6;2879;2020-06-21 07:57:23.459;2020-06-21 08:38:42.767
724;12345678A;5567JJL;129,4051001;1;3;2725;2020-06-21 19:25:19.429;2020-06-21 20:40:19.583
725;87654321V;1125LLV;119,5875897;5;1;2881;2020-06-22 07:38:33.557;2020-06-22 08:28:02.028
726;44678910Y;3445DKM;77,70276171;2;2;3007;2020-06-22 15:17:41.157;2020-06-22 15:45:59.215
727;44678910Y;3445DKM;50,47313632;5;2;2579;2020-06-23 00:29:10.894;2020-06-23 01:42:06.774
728;12345678A;5567JJL;156,7864709;6;6;2833;2020-06-23 06:41:14.202;2020-06-23 08:06:00.094
729;12345678A;5567JJL;120,6251748;5;6;2715;2020-06-23 10:41:02.098;2020-06-23 11:58:06.748
730;87654321V;3445DKM;187,5186962;0;6;2593;2020-06-23 19:20:23.873;2020-06-23 21:05:55.257
731;44678910Y;5567JJL;77,18425565;2;0;2652;2020-06-24 05:54:55.427;2020-06-24 06:26:27.879
732;44678910Y;5567JJL;148,4462003;3;5;2859;2020-06-24 09:31:45.671;2020-06-24 10:44:42.162
733;12345678A;3445DKM;122,1980019;6;1;2509;2020-06-24 11:53:39.548;2020-06-24 12:21:10.167
734;12345678A;3445DKM;144,7592108;0;3;2980;2020-06-24 13:31:15.119;2020-06-24 14:30:40.718
735;12345678A;3445DKM;75,85373359;1;7;2726;2020-06-24 21:21:56.636;2020-06-24 22:37:13.860
736;12345678A;1125LLV;29,32237304;6;1;2925;2020-06-25 08:06:34.649;2020-06-25 08:18:30.192
737;12345678A;5567JJL;127,8624454;6;3;2875;2020-06-25 09:21:09.220;2020-06-25 10:53:09.541
738;12345678A;5567JJL;7,463292322;0;1;2912;2020-06-25 15:56:20.466;2020-06-25 16:29:37.933
739;87654321V;3445DKM;45,29552576;4;6;2574;2020-06-25 23:11:19.353;2020-06-26 00:25:58.721
740;44678910Y;5567JJL;143,886033;3;6;2769;2020-06-26 05:42:24.938;2020-06-26 06:08:14.930
741;44678910Y;5567JJL;165,159231;5;2;2901;2020-06-26 15:41:22.819;2020-06-26 17:26:10.587
742;12345678A;3445DKM;67,64063498;7;0;2512;2020-06-27 02:09:26.007;2020-06-27 03:28:53.684
743;12345678A;3445DKM;27,55985741;5;6;2699;2020-06-27 05:04:22.151;2020-06-27 06:04:20.485
744;12345678A;3445DKM;31,44538449;1;2;2730;2020-06-27 11:24:57.969;2020-06-27 12:20:53.251
745;12345678A;1125LLV;137,5543935;7;7;3047;2020-06-27 21:01:24.328;2020-06-27 21:03:58.521
746;87654321V;3445DKM;78,09450917;0;6;2985;2020-06-27 22:15:43.655;2020-06-27 23:48:34.555
747;44678910Y;3445DKM;102,3495005;1;6;2978;2020-06-28 09:59:46.232;2020-06-28 10:11:06.837
748;12345678A;3445DKM;134,0963742;3;0;3085;2020-06-28 14:49:27.800;2020-06-28 16:25:06.839
749;12345678A;5567JJL;199,1921478;1;4;3041;2020-06-29 01:55:31.590;2020-06-29 03:39:55.328
750;87654321V;3445DKM;86,76935806;7;4;2979;2020-06-29 12:14:25.031;2020-06-29 12:16:13.029
751;44678910Y;1125LLV;19,21716144;5;2;2537;2020-06-29 16:12:08.783;2020-06-29 18:03:47.619
752;44678910Y;3445DKM;170,8090855;7;1;2672;2020-06-30 04:27:57.053;2020-06-30 04:52:47.755
753;12345678A;1125LLV;67,2944465;7;1;2794;2020-06-30 09:03:11.462;2020-06-30 09:30:52.462
754;12345678A;5567JJL;112,0629735;0;0;2923;2020-06-30 17:32:20.886;2020-06-30 19:13:54.516
755;87654321V;1125LLV;64,11283999;4;2;3027;2020-07-01 03:50:23.775;2020-07-01 05:23:06.083
756;44678910Y;3445DKM;197,4935022;7;6;2551;2020-07-01 07:23:52.085;2020-07-01 08:26:09.328
757;44678910Y;3445DKM;76,96125518;2;5;3060;2020-07-01 10:35:52.150;2020-07-01 10:44:00.391
758;12345678A;5567JJL;107,4924416;4;3;2579;2020-07-01 12:46:08.114;2020-07-01 12:58:40.446
759;12345678A;5567JJL;73,40359598;3;3;2527;2020-07-01 19:08:08.977;2020-07-01 20:37:39.336
760;87654321V;3445DKM;73,14075402;6;3;2786;2020-07-02 05:55:26.673;2020-07-02 07:54:20.275
761;44678910Y;5567JJL;24,80972078;3;6;2986;2020-07-02 18:32:59.786;2020-07-02 19:22:04.636
762;44678910Y;5567JJL;95,35420013;3;7;2996;2020-07-03 03:21:20.468;2020-07-03 04:04:44.203
763;12345678A;3445DKM;50,92946398;4;5;2591;2020-07-03 04:37:13.652;2020-07-03 05:25:57.196
764;12345678A;3445DKM;145,5501674;2;2;2675;2020-07-03 08:57:01.653;2020-07-03 10:41:22.188
765;12345678A;3445DKM;89,38339402;5;3;2508;2020-07-03 11:38:30.072;2020-07-03 13:09:32.995
766;12345678A;1125LLV;18,60513314;0;3;2701;2020-07-03 13:17:10.924;2020-07-03 14:21:33.311
767;12345678A;5567JJL;38,82281922;6;3;2723;2020-07-03 23:23:30.218;2020-07-04 01:01:58.922
768;12345678A;5567JJL;102,400116;0;3;2628;2020-07-04 05:16:39.849;2020-07-04 07:02:03.433
769;87654321V;3445DKM;173,5682085;6;1;3075;2020-07-04 15:00:58.265;2020-07-04 15:57:34.373
770;44678910Y;5567JJL;114,5177057;1;6;2554;2020-07-04 22:31:40.053;2020-07-04 23:28:13.245
771;44678910Y;5567JJL;146,2769247;7;1;2911;2020-07-05 03:26:21.112;2020-07-05 03:34:45.213
772;12345678A;3445DKM;12,04776752;1;3;2631;2020-07-05 12:03:03.674;2020-07-05 12:07:54.930
773;12345678A;3445DKM;83,83648385;6;0;2607;2020-07-05 17:28:37.099;2020-07-05 18:53:40.169
774;12345678A;3445DKM;106,8727956;3;1;2501;2020-07-05 21:52:31.404;2020-07-05 22:49:39.837
775;12345678A;1125LLV;9,631651272;0;1;3007;2020-07-06 07:52:55.263;2020-07-06 08:52:31.335
776;87654321V;3445DKM;88,53937417;7;0;2535;2020-07-06 19:49:23.248;2020-07-06 20:32:02.298
777;44678910Y;3445DKM;195,0941378;5;0;2989;2020-07-07 06:08:22.205;2020-07-07 06:13:06.452
778;12345678A;3445DKM;14,57752611;5;5;3031;2020-07-07 07:46:33.341;2020-07-07 08:41:02.024
779;12345678A;5567JJL;24,67850015;5;3;2685;2020-07-07 15:17:52.050;2020-07-07 17:05:46.896
780;87654321V;3445DKM;60,39039242;4;3;2719;2020-07-07 19:00:41.056;2020-07-07 20:55:25.531
781;44678910Y;1125LLV;64,16287795;5;2;2653;2020-07-08 06:48:13.721;2020-07-08 07:02:44.905
782;44678910Y;3445DKM;91,15970193;5;0;2991;2020-07-08 09:22:57.706;2020-07-08 10:06:30.720
783;12345678A;1125LLV;189,5873352;2;0;3100;2020-07-08 16:37:36.312;2020-07-08 17:31:05.239
784;12345678A;5567JJL;112,0007141;0;2;2803;2020-07-08 21:29:50.581;2020-07-08 21:57:23.435
785;87654321V;1125LLV;17,22912117;4;6;2864;2020-07-09 01:34:30.042;2020-07-09 02:54:04.629
786;44678910Y;3445DKM;184,8197505;7;3;2909;2020-07-09 06:47:25.956;2020-07-09 07:06:11.176
787;44678910Y;3445DKM;145,6233677;3;6;2685;2020-07-09 08:14:55.644;2020-07-09 08:20:37.601
788;12345678A;5567JJL;23,03740079;3;4;2556;2020-07-09 11:50:02.442;2020-07-09 12:37:51.449
789;12345678A;5567JJL;200,3571367;1;3;2779;2020-07-09 19:28:31.550;2020-07-09 19:58:10.613
790;87654321V;3445DKM;73,09467671;6;5;2891;2020-07-09 20:07:55.536;2020-07-09 21:47:08.175
791;44678910Y;5567JJL;51,40191391;3;4;2619;2020-07-10 06:20:51.284;2020-07-10 06:24:56.727
792;44678910Y;5567JJL;128,4623314;4;7;2903;2020-07-10 09:43:28.056;2020-07-10 10:00:56.716
793;12345678A;3445DKM;42,22904197;7;6;2827;2020-07-10 18:28:18.937;2020-07-10 18:43:24.671
794;12345678A;3445DKM;98,28915639;1;0;2936;2020-07-11 00:01:55.059;2020-07-11 00:07:19.698
795;12345678A;3445DKM;183,3193368;0;7;2558;2020-07-11 09:33:44.069;2020-07-11 10:03:57.078
796;12345678A;1125LLV;155,9017386;5;4;2699;2020-07-11 11:28:34.420;2020-07-11 12:22:50.130
797;12345678A;5567JJL;71,16692231;0;4;2641;2020-07-11 20:07:59.515;2020-07-11 21:03:28.512
798;12345678A;5567JJL;169,654836;3;6;2567;2020-07-12 01:22:36.512;2020-07-12 03:14:29.535
799;87654321V;3445DKM;115,4651905;7;7;3058;2020-07-12 10:17:14.356;2020-07-12 10:58:44.904
800;44678910Y;5567JJL;119,2517104;0;3;2948;2020-07-12 14:43:10.864;2020-07-12 15:09:04.936
801;44678910Y;5567JJL;10,86045303;0;3;2960;2020-07-12 17:57:52.249;2020-07-12 18:04:21.446
802;12345678A;3445DKM;96,08492039;5;6;3016;2020-07-12 20:49:26.195;2020-07-12 21:01:05.063
803;12345678A;3445DKM;141,9444918;1;2;2935;2020-07-12 21:31:52.688;2020-07-12 22:11:20.378
804;12345678A;3445DKM;142,2510618;2;5;2569;2020-07-13 07:37:21.452;2020-07-13 08:50:24.797
805;12345678A;1125LLV;186,3511601;1;1;2929;2020-07-13 11:19:20.502;2020-07-13 12:29:29.391
806;87654321V;3445DKM;137,6574833;6;0;2960;2020-07-13 12:36:39.953;2020-07-13 12:48:16.735
807;44678910Y;3445DKM;114,275947;0;0;3065;2020-07-13 22:07:06.010;2020-07-13 22:50:06.903
808;12345678A;3445DKM;171,3705305;3;7;2968;2020-07-14 06:57:29.023;2020-07-14 08:31:52.173
809;12345678A;5567JJL;175,1162009;2;7;2696;2020-07-14 10:00:37.275;2020-07-14 11:10:08.989
810;87654321V;3445DKM;142,5156531;5;6;2796;2020-07-14 15:16:01.001;2020-07-14 15:30:53.024
811;44678910Y;1125LLV;134,9721789;2;3;2725;2020-07-15 02:13:42.114;2020-07-15 03:16:51.797
812;44678910Y;3445DKM;88,99431821;4;3;3064;2020-07-15 13:06:58.813;2020-07-15 14:37:45.259
813;12345678A;1125LLV;24,39845389;0;2;2674;2020-07-15 19:23:47.243;2020-07-15 20:15:14.342
814;12345678A;5567JJL;110,0036744;0;7;2596;2020-07-15 20:25:51.656;2020-07-15 21:36:47.307
815;87654321V;1125LLV;82,74621344;1;5;2826;2020-07-16 07:52:40.079;2020-07-16 08:12:09.002
816;44678910Y;3445DKM;61,66705444;4;7;2876;2020-07-16 17:12:05.082;2020-07-16 17:47:53.093
817;44678910Y;3445DKM;98,78018674;5;4;3014;2020-07-16 18:23:55.250;2020-07-16 20:10:08.198
818;12345678A;5567JJL;81,12686973;0;3;2723;2020-07-17 04:41:22.944;2020-07-17 05:30:10.388
819;12345678A;5567JJL;150,4117837;2;2;3079;2020-07-17 14:33:37.381;2020-07-17 15:51:31.951
820;87654321V;3445DKM;194,5547567;7;3;3012;2020-07-17 21:18:17.923;2020-07-17 22:19:16.779
821;44678910Y;5567JJL;139,7737704;6;6;3084;2020-07-18 07:33:18.550;2020-07-18 08:56:09.943
822;44678910Y;5567JJL;193,8033673;0;7;2766;2020-07-18 15:15:10.202;2020-07-18 16:52:01.961
823;12345678A;3445DKM;61,81751658;0;0;2846;2020-07-18 22:42:23.089;2020-07-19 00:13:06.250
824;12345678A;3445DKM;186,7797064;6;4;2789;2020-07-19 11:11:54.192;2020-07-19 12:19:23.876
825;12345678A;3445DKM;103,4323016;7;5;2657;2020-07-19 16:42:01.110;2020-07-19 17:10:52.751
826;12345678A;1125LLV;184,9760743;4;2;3094;2020-07-19 19:11:07.989;2020-07-19 19:19:14.775
827;12345678A;5567JJL;112,2766382;2;2;3044;2020-07-20 02:12:42.069;2020-07-20 03:05:18.797
828;12345678A;5567JJL;101,199054;7;2;3001;2020-07-20 12:30:22.586;2020-07-20 13:03:55.345
829;87654321V;3445DKM;187,4826947;0;4;3042;2020-07-20 17:15:50.403;2020-07-20 18:54:51.968
830;44678910Y;5567JJL;123,7341426;3;7;2567;2020-07-21 02:09:11.641;2020-07-21 03:23:52.908
831;44678910Y;5567JJL;45,93092361;2;7;2532;2020-07-21 09:34:48.669;2020-07-21 10:36:23.261
832;12345678A;3445DKM;199,4944489;7;3;2990;2020-07-21 12:46:31.539;2020-07-21 12:51:56.311
833;12345678A;3445DKM;127,4357343;0;6;2583;2020-07-21 17:24:17.889;2020-07-21 17:27:37.036
834;12345678A;3445DKM;8,655092828;4;6;2608;2020-07-21 18:06:15.059;2020-07-21 18:53:36.363
835;12345678A;1125LLV;17,87362973;3;5;3054;2020-07-22 03:07:57.357;2020-07-22 03:35:14.273
836;87654321V;3445DKM;35,98582879;3;5;2563;2020-07-22 09:36:09.750;2020-07-22 10:54:53.538
837;44678910Y;3445DKM;181,5233259;0;2;3093;2020-07-22 19:28:20.205;2020-07-22 20:07:57.040
838;12345678A;3445DKM;171,2309543;5;6;2683;2020-07-23 05:28:40.937;2020-07-23 07:00:16.711
839;12345678A;5567JJL;22,43759741;3;6;2788;2020-07-23 15:30:10.068;2020-07-23 16:11:49.733
840;87654321V;3445DKM;104,2419466;5;7;2686;2020-07-23 18:28:38.824;2020-07-23 18:31:00.032
841;44678910Y;1125LLV;10,76779032;0;1;2837;2020-07-24 03:32:42.727;2020-07-24 05:24:15.840
842;44678910Y;3445DKM;193,4077586;2;3;3058;2020-07-24 12:20:28.426;2020-07-24 12:39:40.898
843;12345678A;1125LLV;105,3520907;2;5;2664;2020-07-24 21:46:04.684;2020-07-24 23:28:54.478
844;12345678A;5567JJL;105,3619936;2;5;2580;2020-07-25 01:26:06.544;2020-07-25 01:51:33.492
845;87654321V;1125LLV;183,6924776;4;1;2611;2020-07-25 11:58:05.901;2020-07-25 12:52:34.933
846;44678910Y;3445DKM;86,32215891;1;6;2861;2020-07-25 17:15:32.756;2020-07-25 17:52:03.518
847;44678910Y;3445DKM;57,14026972;0;1;2579;2020-07-25 18:43:52.118;2020-07-25 19:05:57.665
848;12345678A;5567JJL;22,97775117;2;7;3068;2020-07-25 21:54:12.390;2020-07-25 23:15:19.122
849;12345678A;5567JJL;125,669141;2;7;2770;2020-07-26 08:02:30.948;2020-07-26 08:39:51.643
850;87654321V;3445DKM;70,38421446;7;2;3004;2020-07-26 10:51:29.692;2020-07-26 12:19:28.492
851;44678910Y;5567JJL;83,11086328;4;5;2689;2020-07-26 15:09:52.561;2020-07-26 16:45:03.600
852;44678910Y;5567JJL;168,1211137;2;5;2747;2020-07-26 23:51:51.516;2020-07-27 00:36:09.455
853;12345678A;3445DKM;49,67203833;0;3;2604;2020-07-27 07:18:57.049;2020-07-27 07:25:28.997
854;12345678A;3445DKM;67,36655023;7;0;2803;2020-07-27 11:02:23.831;2020-07-27 11:53:16.655
855;12345678A;3445DKM;68,81342166;4;7;2654;2020-07-27 13:16:02.024;2020-07-27 13:45:20.678
856;12345678A;1125LLV;177,2845858;3;6;2982;2020-07-27 15:50:45.832;2020-07-27 16:43:52.539
857;12345678A;5567JJL;184,8930126;5;4;2666;2020-07-28 03:08:30.167;2020-07-28 03:56:53.704
858;12345678A;5567JJL;33,04637324;2;2;2546;2020-07-28 11:02:28.578;2020-07-28 11:51:23.484
859;87654321V;3445DKM;180,3275817;2;0;2795;2020-07-28 14:39:32.343;2020-07-28 15:37:39.735
860;44678910Y;5567JJL;26,49816099;2;7;3055;2020-07-28 15:51:58.131;2020-07-28 16:28:21.221
861;44678910Y;5567JJL;54,95074194;7;6;2643;2020-07-28 20:28:09.876;2020-07-28 22:25:23.818
